first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
5/3/2020,5/9/2020,65-69,?? ????,<15,0,0
5/3/2020,5/9/2020,65-69,????,1113,<15,0
5/3/2020,5/9/2020,70-74,???,970,<15,<15
5/3/2020,5/9/2020,70-74,????,1047,<15,0
5/3/2020,5/9/2020,75-79,???,716,<15,<15
5/3/2020,5/9/2020,75-79,?? ????,<15,0,0
5/3/2020,5/9/2020,75-79,????,880,<15,<15
5/3/2020,5/9/2020,80+,???,2328,<15,<15
5/3/2020,5/9/2020,80+,?? ????,<15,0,0
5/3/2020,5/9/2020,80+,????,4951,<15,<15
5/3/2020,5/9/2020,NULL,???,792,<15,0
5/3/2020,5/9/2020,NULL,?? ????,310,0,0
5/3/2020,5/9/2020,NULL,????,920,<15,0
5/10/2020,5/16/2020,0-19,???,1991,21,0
5/10/2020,5/16/2020,0-19,?? ????,<15,0,0
5/10/2020,5/16/2020,0-19,????,1598,22,0
5/10/2020,5/16/2020,20-24,???,1268,<15,0
5/10/2020,5/16/2020,20-24,?? ????,<15,0,0
5/10/2020,5/16/2020,20-24,????,1317,<15,0
5/10/2020,5/16/2020,25-29,???,1190,<15,0
5/10/2020,5/16/2020,25-29,?? ????,<15,0,0
5/10/2020,5/16/2020,25-29,????,1571,<15,0
5/10/2020,5/16/2020,30-34,???,1262,<15,0
5/10/2020,5/16/2020,30-34,?? ????,<15,0,0
5/10/2020,5/16/2020,30-34,????,1618,<15,0
5/10/2020,5/16/2020,35-39,???,1185,<15,0
5/10/2020,5/16/2020,35-39,?? ????,<15,0,0
5/10/2020,5/16/2020,35-39,????,1676,<15,0
5/10/2020,5/16/2020,40-44,???,1179,<15,0
5/10/2020,5/16/2020,40-44,?? ????,<15,0,0
5/10/2020,5/16/2020,40-44,????,1846,<15,0
5/10/2020,5/16/2020,45-49,???,1075,<15,<15
5/10/2020,5/16/2020,45-49,?? ????,<15,0,0
5/10/2020,5/16/2020,45-49,????,1435,<15,0
5/10/2020,5/16/2020,50-54,???,903,<15,0
